id,prec,tem,ws,wd,hum,press,pm2_5
1100135963,0,13.13,1.5,166.72,81.92,726.2,15.73
1100168772,0,18.51,1.89,118.4,61.39,728.8,27.73
1100154836,0,17.09,2,119.16,51.4,721.39,12.34
1100125328,0,11.89,1.85,205.89,74.7,724.54,18.24
110012811,0,12.12,1.82,269.3,60.23,724.93,4.2
1100145922,0,18.54,4.06,133.22,37.88,726.18,5.19
1100153755,0,19.88,2.37,128.16,41.08,721.59,13.58
1100172010,0,12.98,1.42,153.3,61.37,726.8,8.75
110018711,0,16.96,0.44,10.39,64.06,728.82,39.15
1100131209,0,13.76,1.57,13.49,68.64,727.84,34.43
1100158775,0,14.68,1.77,8.6,64.54,722.76,19.65
1100119282,0,18.06,3.07,214.56,53.69,724.67,18.34
1100129302,0,16.76,2.53,159.99,40.33,726.18,5.16
1100156133,0,10.35,0.91,230.52,88.35,722.46,21.55
110014697,0,19.98,2.78,107.37,40.17,725.13,0.79
1100144153,1.6,11.35,2.13,237.44,87.35,727.7,9.82
1100134831,0,17.29,1.56,137.44,60.73,726.49,28.6
1100139423,0.1,12.45,1.04,140.6,84.21,726.18,23.17
1100141281,0,10.2,0.64,351.81,88.29,724.08,19.17
1100117972,0,14.15,1.71,208.13,59.31,724.58,3.71
1100139436,0,17.06,1.99,152.72,58.13,727.84,43.15
110018065,0.6,9.65,1.27,201.36,98.82,726.29,3.66
1100151973,0,11.21,0.76,326.52,86.68,723.93,8.47
1100155786,0,19.85,4.11,92.76,32.94,719.42,13.41
1100170038,6.5,12.14,1.34,314.6,87.42,725.6,15.35
1100144683,0,15.63,1.36,73.22,70,727.84,48.19
1100134819,3.1,11.16,1.28,164.42,90.28,727.73,2.15
110011874,4.8,10.24,1.71,182.59,95.51,727.2,13.39
1100134569,0,19.43,2.52,126.43,39.62,726.11,1.33
110019257,0,16.46,2.1,142.49,67.16,727.08,21.15
110011072,1.9,9.33,1.28,173.37,96.65,729.41,5.36
1100147775,0,15.3,2.4,76.32,59.63,724.8,18.13
1100116992,0,17.87,1.57,146.9,46.27,726.39,22.55
1100167445,0,19.99,3.46,8.1,45.82,724.49,9.6
1100155774,0,12.35,3.12,207.24,54.52,720.42,6.81
1100152714,0,12.83,0.59,212.76,90.37,723.36,11.64
1100139776,0,11.36,2.02,170.62,75.11,725.43,22.34
1100171320,0,14.04,2.1,169.8,65.42,726.8,30.52
110016496,0.1,10.07,0.79,132.01,91.87,726.85,22.98
110011666,0,11.18,1.19,167.17,92.27,727.63,16.74
1100153963,0,13.29,1.28,254.64,54.46,720.17,4.18
1100121397,0,12.31,2.55,194.32,54.29,727.84,19.01
1100167642,0,14.4,1.24,140,89.64,726.82,19.46
1100141280,0,10.33,1.03,193,90.23,723.26,10.47
1100124071,0,12.06,1.92,173.16,87.56,724.76,22.51
1100148384,0,11.23,1.42,135.48,92.81,727.45,30.44
1100110070,0,10.13,0.8,155.53,94.09,726.21,21.4
1100153351,0,18.32,1.81,146.76,45.06,721.35,3.45
1100138109,0,16.26,3.32,11.11,58.3,724.53,20.91
1100115487,0,20.19,3.92,2.22,44.2,722.87,35.21
1100124795,0,10.8,1.17,176.25,92.13,724.84,18.56
1100157507,0,14.25,1.88,88.56,70.03,721.92,18.52
1100113175,0,16.54,3.19,139.67,37.58,724.59,19.03
1100172312,0,12.5,2.45,197.3,56.11,726.8,14.34
1100156297,0,12.74,0.99,227.28,54.13,721.85,6.93
